image, latitude, longitude
images/ch2/ch2img10.jpg,-33.436322,-70.631103
images/ch2/ch2img11.jpg,-33.436822,-70.632469
images/ch2/ch2img12.jpg,-33.434217,-70.628494
images/ch2/ch2img13.jpg,-33.438278,-70.638358
images/ch2/ch2img1.jpg,-33.438336,-70.639319
images/ch2/ch2img2.jpg,-33.436614,-70.632142
images/ch2/ch2img3.jpg,-33.437758,-70.635108
images/ch2/ch2img4.jpg,-33.433861,-70.626206
images/ch2/ch2img6.jpg,-33.434678,-70.629319
images/ch2/ch2img7.jpg,-33.439214,-70.639100
images/ch2/ch2img9.jpg,-33.440758,-70.641669
