filename|lat|lng
./images/img9883.jpg|-33.440102777777774|-70.63981666666668
./images/img9883.jpg|-33.43900555555555|-70.63903888888889
./images/img9883.jpg|-33.438561111111106|-70.63836666666667
./images/img9883.jpg|-33.43941944444444|-70.6395638888889
./images/img9883.jpg|-33.43933055555555|-70.63919722222222
./images/img9883.jpg|-33.43915555555555|-70.63905277777778
./images/img9883.jpg|-33.43697777777778|-70.6328361111111
./images/img9883.jpg|-33.43901111111111|-70.63917500000001
./images/img9883.jpg|-33.43756944444444|-70.63385833333334
./images/img9883.jpg|-33.43793611111111|-70.63305555555554
./images/img9883.jpg|-33.43756388888889|-70.63263055555555
./images/img9883.jpg|-33.436613888888886|-70.63186666666665
./images/img9883.jpg|-33.43608888888888|-70.63040277777777
./images/img9883.jpg|-33.42581944444444|-70.61434999999999
./images/img9883.jpg|-33.43949444444444|-70.63925277777778
./images/img9883.jpg|-33.43904166666666|-70.63906944444444
./images/img9883.jpg|-33.433930555555555|-70.62655
./images/img9883.jpg|-33.43167777777778|-70.62647222222222
./images/img9883.jpg|-33.438563888888886|-70.6383888888889
