image, latitude, longitude
images/ch8/ch8img10.jpg,-33.438564,-70.638458
images/ch8/ch8img11.jpg,-33.438106,-70.637825
images/ch8/ch8img12.jpg,-33.438378,-70.639336
images/ch8/ch8img14.jpg,-33.439486,-70.639061
images/ch8/ch8img15.jpg,-33.436981,-70.632850
images/ch8/ch8img16.jpg,-33.455017,-70.625267
images/ch8/ch8img2.jpg,-33.435264,-70.628783
images/ch8/ch8img3.jpg,-33.438183,-70.633356
images/ch8/ch8img4.jpg,-33.438147,-70.633422
images/ch8/ch8img5.jpg,-33.436731,-70.632544
images/ch8/ch8img7.jpg,-33.433842,-70.626189
images/ch8/ch8img8.jpg,-33.439319,-70.638992
